0 []
1 []
2 []
3 []
4 [0, 3]
5 [1]
6 [4, 1]
7 [3, 2]
8 [7]
9 [0, 5]
10 [8, 7]
11 [4, 10]
12 [0, 6]
13 [4]
14 [13, 9]
15 [14, 7]
16 [1, 5]
17 [12, 11]
18 [9, 11]
19 [7, 17]
20 [18, 14]
21 [3, 17]
22 [21, 2]
23 [12, 2]
24 [23, 15]
25 [18, 14]
26 [21, 14]
27 [5, 2]
28 [17, 14]
29 []
30 [29, 4]
31 [0, 13]
32 [30, 3]
33 [27, 5]
34 [17, 29]
35 [21, 16]
36 [2, 3]
37 [6, 0]
38 [15, 2]
39 [35, 16]
40 [4, 36]
41 [14, 27]
42 [4, 11]
43 [3, 28]
44 [8, 4]
45 [0, 32]
46 [29, 13]
47 [16, 23]
48 [47, 38]
49 [18, 27]
50 [9, 34]
51 [37, 50]
52 [18, 20]
53 [47, 17]
54 [5, 7]
55 [32, 28]
56 [35, 17]
57 [24, 33]
58 [23, 17]
59 [49, 53]
60 [24, 5]
61 [51, 48]
62 [43, 5]
63 [53, 58]
64 [23, 37]
65 [20, 18]
66 [2, 43]
67 [14, 40]
68 [37, 36]
69 [14, 8]
70 [68, 57]
71 [34, 48]
72 [4, 69]
73 [9, 14]
74 [43, 29]
75 [71, 28]
76 [30, 10]
77 [64, 38]
78 [4, 13]
79 [59, 9]
80 [3, 62]
81 [70, 72]
82 [11, 12]
83 [14, 81]
84 [68, 26]
85 [23, 65]
86 [83, 77]
87 [26, 38]
88 [28, 64]
89 [4, 68]
90 [46, 54]
91 [36, 66]
92 [70, 71]
93 [4, 6]
94 [10, 32]
95 [76, 39]
96 [31, 68]
97 [23, 85]
98 [28, 4]
99 [37, 44]
100 [39, 20]
101 [21, 3]
102 [29, 82]
103 [83, 4]
104 [93, 63]
105 [12, 8]
106 [40, 75]
107 [63, 16]
108 [107, 45]
109 [37, 12]
110 [87, 75]
111 [52, 58]
112 [65, 78]
113 [77, 92]
114 [94, 13]
115 [69, 80]
116 [36, 23]
117 [66, 85]
118 [56, 3]
119 [106, 37]
120 [86, 6]
121 [106, 66]
122 [95, 28]
123 [8, 114]
124 [113, 83]
125 [49, 63]
126 [18, 82]
127 [70, 54]
128 [74, 31]
129 [12, 90]
130 [53, 101]
131 [53, 80]
132 [104, 35]
133 [120, 21]
134 [74, 130]
135 [35, 14]
136 [92, 113]
137 [60, 109]
138 [28, 133]
139 [24, 38]
140 [17, 27]
141 [39, 7]
142 [120, 101]
143 [114, 16]
144 [17, 43]
145 [130, 21]
146 [60, 97]
147 [36, 108]
148 [36, 44]
149 [4, 136]
150 [28, 105]
151 [7, 17]
152 [26, 44]
153 [53, 24]
154 [112, 9]
155 [97, 129]
156 [3, 98]
157 [117, 112]
158 [132, 21]
159 [17, 106]
160 [98, 143]
161 [69, 140]
162 [22, 157]
163 [66, 148]
164 [163, 74]
165 [63, 126]
166 [16, 125]
167 [78, 69]
168 [113, 34]
169 [151, 93]
170 [169, 86]
171 [156, 126]
172 [37, 38]
173 [37, 101]
174 [104, 79]
175 [84, 158]
176 [139, 33]
177 [142, 123]
178 [177, 152]
179 [3, 151]
180 [148, 89]
181 [19, 28]
182 [60, 131]
183 [79, 86]
184 [20, 142]
185 [180, 161]
186 [4, 179]
187 [35, 6]
188 [72, 186]
189 [77, 173]
190 [4, 84]
191 [140, 84]
192 [139, 136]
193 [190, 38]
194 [100, 119]
195 [47, 11]
196 [9, 188]
197 [46, 67]
198 [184, 114]
199 [84, 64]
